Date,Consumption
2015-01-01,1088.317
2015-01-08,1474.375
2015-01-15,1479.245
2015-01-22,1496.905
2015-01-29,1508.443
2015-02-05,1510.052
2015-02-12,1478.501
2015-02-19,1494.659
2015-02-26,1470.904
2015-03-05,1495.675
2015-03-12,1438.843
2015-03-19,1401.271
2015-03-26,1434.015
2015-04-02,1415.983
2015-04-09,1360.159
2015-04-16,1363.619
2015-04-23,1336.386
2015-04-30,1340.446
2015-05-07,1367.919
2015-05-14,1033.508
2015-05-21,1352.771
2015-05-28,1354.633
2015-06-04,1125.86
2015-06-11,1360.925
2015-06-18,1361.418
2015-06-25,1352.389
2015-07-02,1417.76
2015-07-09,1372.095
2015-07-16,1383.391
2015-07-23,1365.504
2015-07-30,1349.628
2015-08-06,1345.3
2015-08-13,1355.175
2015-08-20,1318.76
2015-08-27,1369.801
2015-09-03,1361.68
2015-09-10,1360.14
2015-09-17,1420.149
2015-09-24,1391.399
2015-10-01,1383.383
2015-10-08,1399.914
2015-10-15,1456.352
2015-10-22,1440.44
2015-10-29,1426.545
2015-11-05,1432.384
2015-11-12,1481.53
2015-11-19,1543.927
2015-11-26,1527.195
2015-12-03,1502.84
2015-12-10,1547.135
2015-12-17,1457.243
2015-12-24,1083.063
2015-12-31,1122.732
2016-01-07,1480.613
2016-01-14,1518.124
2016-01-21,1559.121
2016-01-28,1500.608
2016-02-04,1522.147
2016-02-11,1501.407
2016-02-18,1502.375
2016-02-25,1500.384
2016-03-03,1493.771
2016-03-10,1475.781
2016-03-17,1447.59
2016-03-24,1419.196
2016-03-31,1413.706
2016-04-07,1419.358
2016-04-14,1399.721
2016-04-21,1369.587
2016-04-28,1417.222
2016-05-05,1066.482
2016-05-12,1409.326
2016-05-19,1380.964
2016-05-26,1161.513
2016-06-02,1383.361
2016-06-09,1366.69
2016-06-16,1376.7
2016-06-23,1391.152
2016-06-30,1387.01
2016-07-07,1364.531
2016-07-14,1369.208
2016-07-21,1384.145
2016-07-28,1346.147
2016-08-04,1347.458
2016-08-11,1308.817
2016-08-18,1332.146
2016-08-25,1371.867
2016-09-01,1356.865
2016-09-08,1377.141
2016-09-15,1383.177
2016-09-22,1337.93
2016-09-29,1417.921
2016-10-06,1459.278
2016-10-13,1465.331
2016-10-20,1470.41
2016-10-27,1457.074
2016-11-03,1511.443
2016-11-10,1527.088
2016-11-17,1532.228
2016-11-24,1519.741
2016-12-01,1575.741
2016-12-08,1563.594
2016-12-15,1543.426
2016-12-22,1455.109
2016-12-29,1226.533
2017-01-05,1501.289
2017-01-12,1571.905
2017-01-19,1601.555
2017-01-26,1598.285
2017-02-02,1556.984
2017-02-09,1582.541
2017-02-16,1534.418
2017-02-23,1541.22
2017-03-02,1538.473
2017-03-09,1510.354
2017-03-16,1435.503
2017-03-23,1463.353
2017-03-30,1414.028
2017-04-06,1431.651
2017-04-13,1386.095
2017-04-20,1427.305
2017-04-27,1441.694
2017-05-04,1456.741
2017-05-11,1381.712
2017-05-18,1401.37
2017-05-25,1059.798
2017-06-01,1365.113
2017-06-08,1365.605
2017-06-15,1195.067
2017-06-22,1435.395
2017-06-29,1387.714
2017-07-06,1407.865
2017-07-13,1379.102
2017-07-20,1384.454
2017-07-27,1367.746
2017-08-03,1378.18
2017-08-10,1342.278
2017-08-17,1359.296
2017-08-24,1356.549
2017-08-31,1365.793
2017-09-07,1360.011
2017-09-14,1426.607
2017-09-21,1380.969
2017-09-28,1410.818
